time,uy
0.0,-0.03860335562579291
0.01,-0.09589610301359174
0.02,-0.15218952942511052
0.03,-0.19385341898292816
0.04,-0.21597763524499367
0.05,-0.22138769790305896
0.06,-0.21745785138861415
0.07,-0.21263383293145793
0.08,-0.21387698323741278
0.09,-0.22547613591311882
0.1,-0.24876556290503182
0.11,-0.28223895339310306
0.12,-0.32259139176275586
0.13,-0.36612895859110145
0.14,-0.4098829162431607
0.15,-0.4522279575784844
0.16,-0.49296587782596196
0.17,-0.5329967879175276
0.18,-0.5738113644967076
0.19,-0.616994906366657
0.2,-0.6638417431129436
0.21,-0.7151434356859718
0.22,-0.7711725767130949
0.23,-0.8317897755228039
0.24,-0.8966146069942498
0.25,-0.9651945045855279
0.26,-1.0371283388483663
0.27,-1.1121438633710283
0.28,-1.1900995257421294
0.29,-1.2709389188371407
0.3,-1.3546317231088532
0.31,-1.441066168025323
0.32,-1.530032285759713
0.33,-1.6212312368423105
0.34,-1.7142603559512557
0.35000000000000003,-1.8086154878934833
0.36,-1.9037310937894332
0.37,-1.9990019270451178
0.38,-2.093802134582443
0.39,-2.187503733249677
0.4,-2.2794955448452803
0.41000000000000003,-2.369205760278115
0.42,-2.4561154498161812
0.43,-2.539754576716998
0.44,-2.619705227070031
0.45,-2.695621254633278
0.46,-2.7672514167071243
0.47000000000000003,-2.834448776810243
0.48,-2.8971659089463797
0.49,-2.9554507217044117
0.5,-3.00942744270308
0.51,-3.0592742019961023
0.52,-3.105202639605747
0.53,-3.1474494659239354
0.54,-3.1862608976517897
0.55,-3.221888357771651
0.56,-3.254584366823514
0.5700000000000001,-3.284592121170915
0.58,-3.3121442196640087
0.59,-3.337465467078963
0.6,-3.360761124662327
0.61,-3.382240050699331
0.62,-3.402113372249147
0.63,-3.420582066900029
0.64,-3.4378387487967497
0.65,-3.454061797581372
0.66,-3.469396241409095
0.67,-3.4839432538524777
0.68,-3.497772983480625
0.6900000000000001,-3.510929150923286
0.7000000000000001,-3.5234332433579514
0.71,-3.535291265294295
0.72,-3.546499202411235
0.73,-3.557042644741236
0.74,-3.566907316958185
0.75,-3.576090802676843
0.76,-3.5845996153324307
0.77,-3.592447927953832
0.78,-3.5996541691558903
0.79,-3.606237082763446
0.8,-3.61221101565666
0.81,-3.6175849240763607
0.8200000000000001,-3.6223614148926555
0.8300000000000001,-3.6265373189140755
0.84,-3.630110586255471
0.85,-3.6330810671778573
0.86,-3.635451871653011
0.87,-3.6372300308201964
0.88,-3.638423159741532
0.89,-3.63903960216694
0.9,-3.6390882532147613
0.91,-3.6385801111865637
0.92,-3.63752717346449
0.93,-3.6359459671364793
0.9400000000000001,-3.63386088962768
0.9500000000000001,-3.631296094681551
0.96,-3.628271936231306
0.97,-3.6248048088806555
0.98,-3.6209045345722
0.99,-3.6165770477637875
