time,m,p+PV+PC
0.0,0.0,0.10201999591920126
0.01,0.0001999600053327888,15.224629297690706
0.02,0.0007993603411968198,60.563021979482166
0.03,0.0017967638845033385,135.57963885650358
0.04,0.003189781810425507,239.87026010513807
0.05,0.004975083125415947,372.7354266924927
0.06,0.007148407938778523,533.2803003816978
0.07,0.009704584398785798,720.3726877450534
0.08,0.012637549199103038,932.5519594543248
0.09,0.015940371541718623,1167.9521228831795
0.1,0.01960528042383841,1424.2371205586587
0.11,0.023623695098394515,1698.6179830359786
0.12,0.027986258541082165,1988.1142980615496
0.13,0.03268287374127565,2289.960848461493
0.14,0.03770274261989465,2602.019164477553
0.15,0.04303440736438591,2922.959373187679
0.16,0.04866579395952897,3252.1185464897567
0.17,0.05458425768284558,3589.144948389831
0.18,0.06077663032503433,3933.6271797663285
0.19,0.06722926888911701,4284.863128140488
0.2,0.07392810551689433,4641.832098501659
0.21,0.08085869838788323,5003.341782717939
0.22,0.0880062833341484,5368.2482833212
0.23,0.09535582591433395,5735.6325349169965
0.24,0.10289207369172665,6104.864831690379
0.25,0.11059960846429756,6475.548698333143
0.26,0.11846289819933198,6847.377874603681
0.27,0.1264663484314022,7219.972946597972
0.28,0.13459435288999805,7592.778235359644
0.29,0.14283134313202123,7965.073357457443
0.3,0.1511618369644845,8336.090538842629
0.31,0.15957048545403762,8705.167603168009
0.32,0.16804211833226324,9071.852874322132
0.33,0.17656178761893507,9435.919987968387
0.34,0.18511480929949845,9797.309474184758
0.35000000000000003,0.19368680290779197,10156.043538029315
0.36,0.20226372888036512,10512.149831468376
0.37,0.21083192356452796,10865.601119054198
0.38,0.21937813177838258,11216.251502174788
0.39,0.22788953683739632,11563.726838744691
0.4,0.23635378797847573,11907.186568964333
0.41000000000000003,0.2447590251288554,12244.771280997875
0.42,0.2530939009833269,12572.357716503982
0.43,0.26134760036927707,12881.574551390751
0.44,0.2695098568945832,13160.631136809083
0.45,0.27757096688852945,13403.738237940166
0.46,0.2855218006604635,13618.505386690582
0.47000000000000003,0.29335381111482794,13819.275597379637
0.48,0.30105903977439763,14017.84415016576
0.49,0.3086301202759655,14220.62704970845
0.5,0.31606027941427883,14429.86216962152
0.51,0.3233433358206993,14645.41467063063
0.52,0.3304736963727789,14866.050906356917
0.53,0.3374463504397021,15090.147957466868
0.54,0.34425686207629647,15316.041538094034
0.55,0.35090136028505636,15542.182722504183
0.56,0.3573765274713474,15767.201758029505
0.5700000000000001,0.3636795862216616,15989.926860643352
0.58,0.3698082845384854,16209.380359229466
0.59,0.3757608796680479,16424.7634282197
0.6,0.3815361206589391,16635.43574780452
0.61,0.38713322979039155,16840.89387327648
0.62,0.3925518830088974,17040.75049690211
0.63,0.39779218951086803,17234.71572215101
0.64,0.40285467060725594,17422.580782845118
0.65,0.4077402380035054,17604.204228570103
0.66,0.41245017162494335,17779.50037944953
0.67,0.4169860971138067,17948.42976032439
0.68,0.4213499631195982,18110.991205480263
0.6900000000000001,0.42554401849942614,18267.215345094653
0.7000000000000001,0.4295707895394775,18417.159221242237
0.71,0.4334330573028591,18560.901821862946
0.72,0.43713383520278604,18698.540359156348
0.73,0.44067634689355595,18830.18715184839
0.74,0.4440640045649859,18955.96699818577
0.75,0.4473003877190678,19076.014948789794
0.76,0.4503892225005684,19190.47440643586
0.77,0.4533343616462237,19299.495494215786
0.78,0.4561397651101038,19403.233645088618
0.79,0.45880948141569816,19501.848375106572
0.8,0.46134762977835014,19595.50221006302
0.81,0.46375838303488176,19684.35974130666
0.8200000000000001,0.46604595141064536,19768.586791270314
0.8300000000000001,0.46821456714784776,19848.34967311692
0.84,0.4702684700128484,19923.814531961263
0.85,0.4722118936942585,19995.146757564955
0.86,0.47404905309809725,20062.510460319107
0.87,0.4757841325410029,20126.06800384059
0.88,0.4774212748375695,20185.979588691604
0.89,0.4789645712733088,20242.402882649825
0.9,0.48041805245050645,20295.492693680153
0.91,0.48178567999038546,20345.400682307027
0.92,0.4830713390714884,20392.275110520575
0.93,0.4842788317810543,20436.26062468098
0.9400000000000001,0.4854118712533915,20477.498070140617
0.9500000000000001,0.4864740765668248,20516.12433550464
0.96,0.4874689683687206,20552.27222460427
0.97,0.48839996519635326,20586.070354378637
0.98,0.4892703804599598,20617.643076954628
0.99,0.49008342005322575,20647.110424293853
