time,uy
0.0,0.0
0.01,1.4082649602071047e-22
0.02,5.64259737423864e-22
0.03,1.26834825315528e-21
0.04,2.2468829156744663e-21
0.05,3.492771328423416e-21
0.06,4.999128416302392e-21
0.07,6.762642625372174e-21
0.08,8.788828550122409e-21
0.09,1.10984953899737e-20
0.1,1.373359869504904e-20
0.11,1.6758937955305643e-20
0.12,2.025556083781691e-20
0.13,2.4305594741599234e-20
0.14,2.8974469349793445e-20
0.15,3.4300047625004326e-20
0.16,4.029374016444765e-20
0.17,4.695061668731374e-20
0.18,5.426161427109462e-20
0.19,6.222237940550849e-20
0.2,7.083632210987305e-20
0.21,8.011199112147135e-20
0.22,9.005668169403059e-20
0.23,1.0066867381374387e-19
0.24,1.1192977885515425e-19
0.25,1.237992187890158e-19
0.26,1.362097081180035e-19
0.27,1.4906654162032038e-19
0.28,1.6225044341544216e-19
0.29,1.7562481713939994e-19
0.3,1.89047298543228e-19
0.31,2.0238388852494432e-19
0.32,2.1552230562727693e-19
0.33,2.283809127220516e-19
0.34,2.4091101855209347e-19
0.35000000000000003,2.5309259861277135e-19
0.36,2.649253063784446e-19
0.37,2.7641746474858373e-19
0.38,2.8757559516373517e-19
0.39,2.9839622970335327e-19
0.4,3.088605254395112e-19
0.41000000000000003,3.1893124806404665e-19
0.42,3.2855551267009167e-19
0.43,3.3770617969885157e-19
0.44,3.4652263531668784e-19
0.45,3.553185931356731e-19
0.46,3.6420256072855015e-19
0.47000000000000003,3.729689279219551e-19
0.48,3.813862824407495e-19
0.49,3.89373968547218e-19
0.5,3.969741457832604e-19
0.51,4.042697524569034e-19
0.52,4.1133469354416775e-19
0.53,4.182202252080376e-19
0.54,4.2495801668872415e-19
0.55,4.315661591436361e-19
0.56,4.380534025095268e-19
0.5700000000000001,4.444215590019808e-19
0.58,4.506670914657398e-19
0.59,4.567825537269562e-19
0.6,4.627580494535663e-19
0.61,4.68582616977618e-19
0.62,4.742454033808404e-19
0.63,4.79736545257406e-19
0.64,4.85047742755523e-19
0.65,4.901725624126983e-19
0.66,4.951065273608772e-19
0.67,4.998470571522678e-19
0.68,5.043933122219718e-19
0.6900000000000001,5.087459864378698e-19
0.7000000000000001,5.129070792810877e-19
0.71,5.168796688837024e-19
0.72,5.206676990583675e-19
0.73,5.242757875339327e-19
0.74,5.277090585192722e-19
0.75,5.309730000416494e-19
0.76,5.340733448655739e-19
0.77,5.370159728835835e-19
0.78,5.39806832445572e-19
0.79,5.424518779856238e-19
0.8,5.449570213939982e-19
0.81,5.473280947827007e-19
0.8200000000000001,5.495708225503527e-19
0.8300000000000001,5.516908009286408e-19
0.84,5.536934834656826e-19
0.85,5.555841711571507e-19
0.86,5.573680061663974e-19
0.87,5.590499682772088e-19
0.88,5.606348733962619e-19
0.89,5.621273735685666e-19
0.9,5.635319580899824e-19
0.91,5.648529553994672e-19
0.92,5.660945355127167e-19
0.93,5.672607128212393e-19
0.9400000000000001,5.683553491295908e-19
0.9500000000000001,5.693821568406246e-19
0.96,5.703447022266906e-19
0.97,5.712464087453051e-19
0.98,5.720905603728999e-19
0.99,5.728803049406193e-19
